run,group,episodes,step,final_accuracy,tinygsm-code_count,text_count,pass64,maj64,code_count64,text_count64
tg00-pretrained,tg00,0,0,0.006823351023502654,,1.0,,,,
tg15-pretrained,tg15,0,0,0.03866565579984837,0.8931008339651251,0.1068991660348749,0.45489006823351025,0.0576194086429113,0.8376729529946929,0.12667029946929492
tg30-pretrained,tg30,0,0,0.06444275966641395,0.9711902956785443,0.02880970432145565,0.5056861258529188,0.06747536012130402,0.9462661106899166,0.03884334723275208
tg00-grpo,tg00,1,1,0.006065200909780136,,1.0,,,,
tg00-grpo,tg00,1,2,0.006823351023502654,,1.0,,,,
tg00-grpo,tg00,1,3,0.006065200909780136,,1.0,,,,
tg00-grpo,tg00,1,5,0.00530705079605762,,1.0,,,,
tg00-grpo,tg00,1,7,0.004548900682335102,,1.0,,,,
tg00-grpo,tg00,1,10,0.00530705079605762,,1.0,,,,
tg00-grpo,tg00,1,14,0.006065200909780136,,1.0,,,,
tg00-grpo,tg00,1,20,0.004548900682335102,,1.0,,,,
tg00-grpo,tg00,1,29,0.006823351023502654,,1.0,,,,
tg00-grpo,tg00,1,41,0.0075815011372251705,,1.0,,,,
tg00-grpo,tg00,1,58,0.0075815011372251705,,1.0,,,,
tg00-grpo,tg00,1,82,0.006065200909780136,,1.0,,,,
tg00-grpo,tg00,1,116,0.006823351023502654,,1.0,,,,
tg15-grpo,tg15,1,1,0.03866565579984837,0.8953752843062927,0.10462471569370735,,,,
tg15-grpo,tg15,1,2,0.0401819560272934,0.8961334344200151,0.10386656557998483,,,,
tg15-grpo,tg15,1,3,0.03866565579984837,0.8953752843062927,0.10462471569370735,,,,
tg15-grpo,tg15,1,5,0.04169825625473844,0.8946171341925702,0.10538286580742987,,,,
tg15-grpo,tg15,1,7,0.034874905231235785,0.8961334344200151,0.10386656557998483,,,,
tg15-grpo,tg15,1,10,0.037149355572403335,0.8961334344200151,0.10386656557998483,,,,
tg15-grpo,tg15,1,14,0.039423805913570885,0.8968915845337376,0.10310841546626232,,,,
tg15-grpo,tg15,1,20,0.03866565579984837,0.8968915845337376,0.10310841546626232,,,,
tg15-grpo,tg15,1,29,0.04927975739196361,0.8984078847611827,0.10159211523881728,,,,
