run,group,episodes,step,final_accuracy,tinygsm-code_count,text_count,pass64,maj64,code_count64,text_count64
tg15-grpo,tg15,1,41,0.053828658074298714,0.9029567854435178,0.09704321455648218,,,,
tg15-grpo,tg15,1,58,0.06595905989385899,0.9082638362395754,0.09173616376042457,,,,
tg15-grpo,tg15,1,82,0.0712661106899166,0.913570887035633,0.08642911296436695,,,,
tg15-grpo,tg15,1,116,0.0712661106899166,0.9150871872630781,0.08491281273692192,,,,
tg15-grpo-2ep,tg15,2,1,0.0401819560272934,0.8961334344200151,0.10386656557998483,,,,
tg15-grpo-2ep,tg15,2,2,0.034874905231235785,0.8976497346474602,0.1023502653525398,,,,
tg15-grpo-2ep,tg15,2,3,0.03866565579984837,0.8946171341925702,0.10538286580742987,,,,
tg15-grpo-2ep,tg15,2,5,0.03790750568612585,0.8961334344200151,0.10386656557998483,,,,
tg15-grpo-2ep,tg15,2,7,0.03639120545868082,0.8953752843062927,0.10462471569370735,,,,
tg15-grpo-2ep,tg15,2,10,0.03790750568612585,0.8953752843062927,0.10462471569370735,,,,
tg15-grpo-2ep,tg15,2,14,0.03790750568612585,0.8946171341925702,0.10538286580742987,,,,
tg15-grpo-2ep,tg15,2,20,0.04169825625473844,0.8908263836239575,0.10917361637604246,,,,
tg15-grpo-2ep,tg15,2,29,0.04397270659590599,0.8915845337376801,0.10841546626231995,,,,
tg15-grpo-2ep,tg15,2,41,0.04927975739196361,0.8953752843062927,0.10462471569370735,,,,
tg15-grpo-2ep,tg15,2,58,0.0712661106899166,0.9044730856709629,0.09552691432903715,,,,
tg15-grpo-2ep,tg15,2,82,0.0667172100075815,0.9128127369219106,0.08718726307808947,,,,
tg15-grpo-2ep,tg15,2,116,0.06974981046247157,0.9317664897649734,0.06823351023502654,,,,
tg15-grpo-2ep,tg15,2,164,0.07733131159969674,0.9492039423805914,0.05079605761940864,,,,
tg15-grpo-2ep,tg15,2,232,0.07733131159969674,0.9507202426080363,0.04927975739196361,0.5200909780136467,0.12661106899166036,0.9119479719484458,0.06817427975739196
tg30-grpo,tg30,1,1,0.05989385898407885,0.9734647460197119,0.026535253980288095,,,,
tg30-grpo,tg30,1,2,0.060652009097801364,0.9719484457922669,0.028051554207733132,,,,
tg30-grpo,tg30,1,3,0.060652009097801364,0.9719484457922669,0.028051554207733132,,,,
tg30-grpo,tg30,1,5,0.05989385898407885,0.9727065959059894,0.027293404094010616,,,,
tg30-grpo,tg30,1,7,0.0621683093252464,0.9719484457922669,0.028051554207733132,,,,
tg30-grpo,tg30,1,10,0.06368460955269144,0.9727065959059894,0.027293404094010616,,,,
tg30-grpo,tg30,1,14,0.06747536012130402,0.9727065959059894,0.027293404094010616,,,,
tg30-grpo,tg30,1,20,0.06747536012130402,0.9734647460197119,0.026535253980288095,,,,
tg30-grpo,tg30,1,29,0.0758150113722517,0.9757391963608795,0.024260803639120546,,,,
tg30-grpo,tg30,1,41,0.08642911296436695,0.9772554965883244,0.022744503411675512,,,,
tg30-grpo,tg30,1,58,0.0978013646702047,0.9810462471569371,0.018953752843062926,0.5943896891584534,0.13874147081122062,0.955482373009856,0.028549090219863533
tg30-grpo,tg30,1,82,0.09476876421531463,0.9810462471569371,0.018953752843062926,,,,
tg30-grpo,tg30,1,116,0.09401061410159212,0.9818043972706596,0.01819560272934041,0.5815011372251706,0.13949962092494314,0.959758813495072,0.026085102350265354
tg30-grpo-2ep,tg30,2,1,0.0667172100075815,0.9727065959059894,0.027293404094010616,,,,
tg30-grpo-2ep,tg30,2,2,0.0621683093252464,0.9727065959059894,0.027293404094010616,,,,
tg30-grpo-2ep,tg30,2,3,0.0621683093252464,0.9727065959059894,0.027293404094010616,,,,
tg30-grpo-2ep,tg30,2,5,0.060652009097801364,0.9727065959059894,0.027293404094010616,,,,
tg30-grpo-2ep,tg30,2,7,0.060652009097801364,0.9727065959059894,0.027293404094010616,,,,
tg30-grpo-2ep,tg30,2,10,0.0621683093252464,0.9734647460197119,0.026535253980288095,,,,
tg30-grpo-2ep,tg30,2,14,0.06368460955269144,0.9734647460197119,0.026535253980288095,,,,
tg30-grpo-2ep,tg30,2,20,0.06823351023502654,0.9742228961334344,0.02577710386656558,,,,
tg30-grpo-2ep,tg30,2,29,0.06899166034874905,0.9742228961334344,0.02577710386656558,,,,
tg30-grpo-2ep,tg30,2,41,0.09552691432903715,0.9787717968157695,0.02122820318423048,,,,
tg30-grpo-2ep,tg30,2,58,0.1068991660348749,0.9818043972706596,0.01819560272934041,,,,
tg30-grpo-2ep,tg30,2,82,0.11372251705837756,0.9840788476118272,0.01592115238817286,,,,
tg30-grpo-2ep,tg30,2,116,0.11448066717210008,0.9840788476118272,0.01592115238817286,,,,
tg30-grpo-2ep,tg30,2,164,0.12509476876421532,0.9855951478392722,0.014404852160727824,,,,
tg30-grpo-2ep,tg30,2,232,0.133434420015163,0.9863532979529946,0.013646702047005308,0.5981804397270659,0.17134192570128887,0.9745901250947687,0.015009003032600455
tg30-grpo-2ep,tg30,3,240,0.13646702047005307,0.9863532979529946,0.013646702047005308,,,,
tg30-grpo-2ep,tg30,3,246,0.1288855193328279,0.9863532979529946,0.013646702047005308,,,,
tg30-grpo-2ep,tg30,3,260,0.133434420015163,0.9863532979529946,0.013646702047005308,,,,
tg30-grpo-2ep,tg30,3,280,0.13646702047005307,0.9863532979529946,0.013646702047005308,,,,
tg30-grpo-2ep,tg30,3,300,0.13646702047005307,0.9863532979529946,0.013646702047005308,,,,
tg30-grpo-2ep,tg30,3,320,0.14025777103866566,0.9863532979529946,0.013646702047005308,,,,
tg30-grpo-2ep,tg30,3,340,0.14329037149355572,0.9871114480667172,0.01288855193328279,,,,
tg30-grpo-2ep,tg30,3,348,0.13874147081122062,0.9871114480667172,0.01288855193328279,0.6057619408642911,0.16906747536012132,0.9761182714177407,0.013563779378316907
